Ranking,Country,GDP_Per_Capita,Life_Expectancy,Unemployment_Rate,Fertility_Rate,People_Per_KMsq,Percent_Population_Urban,Percent_Female_Labor,Percent_Electricity_Access,Air_Pollution_PPM
1,Norway,75704.2487,82.5097561,4.162000179,1.71,14.45257595,81.871,60.2859993,100,6.956519803
2,Denmark,57218.85196,81.00487805,5.743000031,1.79,137.2941176,87.757,58.10200119,100,10.02965344
3,Iceland,71314.7742,82.20487805,2.742000103,1.74,3.425436409,93.773,72.31099701,100,6.481147263
4,Switzerland,80333.44494,83.60243902,4.796999931,1.54,213.8839911,73.761,62.60100174,100,10.3031001
5,Finland,45804.65421,81.42926829,8.640000343,1.57,18.1244908,85.325,55.15999985,100,5.861331001
6,Netherlands,48482.76621,81.56097561,4.839000225,1.66,508.4979519,91.077,58.07899857,100,12.03440807
7,Canada,45069.92725,82.4704878,6.340000153,1.4961,4.01827985,81.35,61.01599884,100,6.428383133
8,New Zealand,42260.12518,81.65853659,4.702000141,1.81,18.20629676,86.466,64.64399719,100,5.956001129
9,Sweden,53253.47664,82.30731707,6.717999935,1.85,24.69298078,87.146,60.97000122,100,6.18466509
10,Australia,54093.60219,82.49756098,5.593999863,1.765,3.198361419,85.904,59.69300079,100,8.550324401
11,Israel,40543.58417,82.60243902,4.215000153,3.11,402.6478743,92.336,59.20800018,100,21.38110224
12,Costa Rica,11752.5436,80.03,8.142000198,1.768,96.94386996,78.56,45.4070015,99.6,15.7259203
13,Austria,47380.82964,81.64146341,5.499000072,1.53,106.6074453,58.094,54.86899948,100,12.47796673
14,United States,59927.92983,78.53902439,4.355000019,1.7655,35.54522707,82.058,56.31299973,100,7.409441662
15,Ireland,68941.80665,81.95609756,6.710000038,1.81,69.78353898,62.947,55.35599899,100,8.208576735
16,Germany,44681.08258,80.9902439,3.746000051,1.57,236.5954946,77.261,55.2120018,100,12.02876736
17,Belgium,43507.2382,81.43902439,7.085999966,1.68,375.6657199,97.961,47.89199829,100,12.88651847
18,Luxembourg,104498.7387,82.68536585,5.521999836,1.41,245.4057613,90.727,53.48300171,100,10.3646374
19,United Kingdom,39932.06029,81.15609756,4.335000038,1.79,273.049473,83.143,57.04199982,100,10.47269039
